STU_ID,X2SEX,X2RACE,X2SESQ5,X2TXMQUINT,X2MTHID,X2MTHUTI,X2MTHEFF,X2MTHINT_R
10082,1,5,4,1,-1.54,-3.94,-2.5,-1.89
10084,1,8,3,4,0.7,-0.5,0.32,0.19
10085,1,8,4,5,0.7,1.21,0.53,0.61
10086,2,2,3,5,1.24,1.21,0.11,0.71
10087,1,6,2,4,0.7,1.21,1.73,0.09
10088,2,6,5,3,0.16,-0.5,-0.03,-0.35
10089,1,3,4,2,-1.54,-1.17,-1.55,-7
10090,2,6,3,3,-0.96,1.21,0.47,0.44
10091,1,5,1,1,0.16,-0.92,0.32,-9
10092,1,8,1,1,-1.54,-0.5,-0.44,-7
10093,1,8,4,4,0.7,-0.5,0.32,-9
10094,1,8,5,-8,-8,-8,-8,-8
10095,2,6,3,5,1.82,1.21,1.06,-7
10096,2,3,3,2,0.16,-0.5,0.79,-0.21
10097,2,5,5,3,0.7,0.13,-0.7,0.17
10099,2,8,5,5,1.28,1.21,0.32,0.71
10100,2,8,3,3,-1.54,-2.25,-2.5,-1.89
10101,2,8,-8,-8,-8,-8,-8,-8
10102,1,3,4,2,-9,0.55,-0.32,-9
10103,1,5,3,2,0.7,1.21,0.32,-0.18
10104,1,8,-8,-8,-8,-8,-8,-8
10105,2,8,5,5,0.16,-0.5,0.32,0.71
10106,1,3,1,4,0.7,0.8,0.32,0.71
10107,2,3,5,4,0.7,1.21,0.32,1.13
10108,2,6,1,4,0.12,-0.28,-1.55,0.19
10109,2,6,4,2,-0.42,1.21,0.32,1.23
10110,2,8,5,5,1.28,0.55,1.52,1.65
10111,1,8,1,1,0.7,1.21,-0.62,-7
10112,1,2,5,5,1.82,0.8,0.53,0.96
10113,1,5,2,3,-0.42,1.21,-0.35,-7
10114,1,8,-8,-8,-8,-8,-8,-8
10115,1,8,3,4,0.7,-0.5,0.32,0.19
10116,1,5,3,4,0.12,1.21,-9,-7
10117,2,8,4,4,-0.42,-0.92,-1.09,-0.2
10118,1,3,4,3,-0.42,-0.5,-9,-1.14
10119,1,8,5,2,-9,-9,-9,-9
10120,1,5,1,3,0.12,1.21,0.32,0.44
10121,1,6,5,2,1.28,1.21,0.91,1.11
10122,2,2,4,4,1.82,1.21,1.73,2.17
10123,1,8,3,1,0.12,-9,0.11,0.96
10124,2,8,2,1,-0.42,1.21,-0.7,0.44
10126,1,8,5,2,-1.54,1.21,-0.15,-1.14
10127,2,3,2,3,0.16,0.8,0.76,-7
10128,1,2,5,4,-0.96,0.13,-0.53,-0.35
10129,1,6,4,5,0.7,-0.5,1.52,0.71
10130,2,8,3,1,-1.54,-0.5,1.03,-9
10131,1,5,5,5,1.82,1.21,1.73,0.31
10132,2,8,4,5,-0.42,-0.5,0.11,-0.21
10133,1,5,-8,-8,-8,-8,-8,-8
10135,1,8,-8,-8,-8,-8,-8,-8
10136,2,8,4,1,-1.54,1.21,-1.88,-0.71
10137,1,8,3,1,1.82,1.21,0.72,-7
10138,1,3,1,2,1.24,1.21,0.32,0.21
10139,1,8,2,2,0.7,0.13,-0.62,0.71
10140,2,5,3,3,-0.96,-9,-9,1.13
10141,1,3,3,3,-0.42,1.21,0.11,-1
10142,1,4,1,2,-1.54,1.21,-2.5,-7
10143,1,2,4,4,0.12,-0.5,0.32,0.44
10145,1,6,4,3,-0.42,-0.5,0.32,-0.2
10146,2,6,3,3,-1.54,-0.5,-0.38,-0.75
10147,1,8,3,1,1.24,0.55,0.11,-7
10148,1,5,-8,-8,-8,-8,-8,-8
10149,1,8,3,3,-1.54,-2.66,-0.7,-0.2
10150,1,8,5,4,-0.42,-0.5,-1.68,-0.99
10151,2,8,3,3,-1.54,-9,-1.09,-9
10153,1,8,3,5,1.24,0.13,0.11,1.38
10154,1,8,2,4,-0.37,-0.5,1.34,0.19
10155,1,5,1,4,0.7,-0.5,0.32,1.38
10156,1,8,5,3,-0.96,-0.72,-0.06,-7
10158,1,8,5,4,0.7,1.21,1.73,1.75
10159,2,8,3,3,-1.54,-0.5,-0.44,-1.39
10160,2,8,2,4,-0.42,0.13,0.11,-1.64
10161,1,8,1,3,0.16,0.8,0.11,0.19
10162,1,5,1,5,0.7,-0.5,0.32,-0.2
10163,1,5,4,5,0.12,-0.5,-0.74,-0.45
10164,1,2,5,4,0.16,0.8,0.32,-0.21
10165,1,8,3,1,-1.54,-0.5,-0.5,-0.99
10166,1,8,5,5,1.24,1.21,1.73,0.87
10167,1,8,5,3,0.21,-1.19,-1.3,-1.89
10168,1,8,5,3,1.28,1.21,1.52,1.35
10169,1,8,4,3,-1.54,-1.17,-0.88,-7
10170,1,2,4,5,1.82,1.21,1.52,2.17
10171,2,8,5,5,1.28,1.21,-0.09,-0.35
10172,2,8,1,1,-0.42,-0.5,-0.96,-0.6
10173,2,8,5,5,1.82,1.21,1.73,2.17
10175,1,2,4,5,0.16,0.13,0.32,0.98
10176,2,8,1,1,-0.42,-0.5,0.32,-0.21
10177,1,8,-8,-8,-8,-8,-8,-8
10178,2,8,4,5,0.16,0.13,-1.3,-0.99
10179,2,2,4,4,0.7,-0.5,0.32,-0.6
10180,2,6,4,-8,-8,-8,-8,-8
10181,1,8,1,1,-0.42,1.21,0.32,-0.74
10182,1,8,-8,-8,-8,-8,-8,-8
10183,2,8,5,4,-1.54,0.8,-0.56,-1.64
10184,1,8,3,4,0.16,0.8,-9,-1
10185,1,4,-8,-8,-8,-8,-8,-8
10186,2,6,3,5,0.7,-0.5,0.32,0.61
10187,2,6,4,3,0.7,-0.5,0.32,0.61
10189,2,2,5,3,-0.37,-0.5,0.32,0.19
10190,1,8,2,1,0.16,1.21,0.32,0.44
10191,2,1,2,1,-1.54,-0.5,-2.15,-7
10192,1,7,2,2,1.82,1.21,1.73,1.75
10193,2,8,5,1,0.7,-0.5,0.71,-1.25
10194,1,8,3,5,0.7,1.21,0.32,1.13
10195,1,6,5,3,0.7,0.13,0.32,0.19
10196,2,8,5,3,0.16,-0.5,0.32,0.61
10197,1,2,2,5,0.7,0.8,1.17,0.96
10199,1,5,3,1,-0.96,-0.5,-2.5,-7
10200,1,8,4,-8,-8,-8,-8,-8
10201,2,8,2,1,-1.54,-0.5,-2.11,1.23
10202,1,8,5,2,0.12,1.21,0.32,0.44
10203,1,2,3,3,-0.42,-0.5,-0.06,-0.21
10204,1,5,3,1,-1.54,-1.58,-0.88,-0.85
10205,2,8,1,2,-0.42,-0.5,0.32,-0.6
10206,2,8,5,4,1.24,0.8,-0.35,0.59
10207,1,1,1,3,0.7,-0.5,1.73,1.1
10208,1,8,4,1,-1.54,-0.28,-1.09,-7
10209,1,5,2,2,-1.54,1.21,0.11,-0.2
10210,1,5,5,5,1.24,1.21,1.73,1.75
10211,2,8,5,3,0.7,1.21,-0.15,1.13
10212,1,8,5,5,1.82,-2.25,1.73,1.52
10213,2,8,5,4,0.7,-1.56,0.11,0.46
10214,1,6,1,5,0.16,-0.5,-0.09,0.19
10215,1,6,-8,-8,-8,-8,-8,-8
10216,1,8,5,5,1.82,1.21,1.38,0.31
10217,2,5,4,5,-0.96,-0.5,-0.32,-1.64
10218,1,8,3,3,-0.96,0.13,0.32,-0.2
10219,1,8,4,2,-0.42,-1.17,0.32,-0.6
10220,1,8,1,5,-1.54,-2.47,-2.5,-1.89
10221,1,6,3,4,0.12,1.21,0.71,-0.73
10222,1,2,2,1,-1.54,1.21,0.72,-0.99
10223,2,8,5,4,-1.54,-0.53,-2.5,-7
10224,1,8,5,4,0.7,1.21,1.52,1.75
10226,2,1,5,4,1.82,1.21,0.71,1.52
10227,2,3,4,4,0.12,1.21,0.11,0.96
10228,2,8,1,1,-0.42,-1.17,0.5,0.84
10229,2,8,5,4,0.7,1.21,1.52,0.96
10230,1,5,2,4,-0.42,-0.5,-0.7,-1.39
10231,2,5,5,3,-0.96,-1.17,0.11,-1.14
10232,1,8,1,2,0.16,-0.5,0.67,-0.21
10233,1,8,5,4,-0.42,-0.5,0.32,-0.6
10234,2,3,5,5,1.28,0.13,-1.3,-7
10235,2,8,3,3,-0.42,-0.5,0.11,-0.6
10236,1,8,-8,-8,-8,-8,-8,-8
10237,1,8,2,1,-0.42,-0.92,1.06,0.56
10238,1,8,5,5,0.7,1.21,0.32,-7
10239,2,5,2,4,1.82,-0.95,-0.09,-0.45
10240,1,5,1,3,1.24,0.38,1.73,-7
10241,1,8,5,3,-0.42,-0.5,-0.06,-0.6
10242,2,5,-8,-8,-8,-8,-8,-8
10246,2,5,-8,-8,-8,-8,-8,-8
10247,1,8,3,4,-0.42,-1.17,0.11,0.44
10248,2,5,1,5,0.7,-9,0.71,-0.6
10249,1,6,5,5,0.7,0.8,-1.09,0.34
10250,1,8,5,5,1.28,0.8,1.32,-1.1
10251,2,5,4,3,1.82,1.21,1.73,2.17
10252,2,6,3,4,0.7,-1.17,0.32,-1.89
10253,1,3,5,4,0.7,-2.25,0.32,-7
10254,2,5,1,3,-0.42,1.21,-0.74,0.71
10256,2,3,3,3,0.7,0.8,-0.82,0.06
10257,2,8,5,4,0.7,1.21,0.32,1.36
10258,1,8,3,5,-0.42,-2.66,0.11,-1.25
10259,2,8,-8,-8,-8,-8,-8,-8
10260,2,8,5,5,1.82,1.21,1.73,2.17
10261,2,6,4,1,0.7,1.21,-1.09,-7
10263,1,5,1,2,1.24,0.8,-0.24,-0.43
10264,2,2,1,4,0.16,-0.5,-0.35,-7
10265,2,8,3,2,-0.96,-0.5,-9,-7
10266,2,8,5,5,0.12,-1.17,0.11,0.46
10267,1,3,4,1,0.66,-0.5,-0.06,-7
10268,2,8,4,1,-0.37,0.13,-2.15,-7
10270,1,3,3,1,-1.54,-0.5,0.11,-0.6
10271,2,8,-8,-8,-8,-8,-8,-8
10272,1,8,5,3,0.7,1.21,0.32,0.71
10273,1,8,5,5,0.16,-0.5,-0.7,-0.6
10274,2,8,5,5,1.24,1.21,0.53,1.75
10275,1,3,4,2,-0.42,-1.17,-0.35,-1
10277,1,3,5,4,1.24,-0.5,1.73,0.73
10278,1,5,2,3,-1.54,-0.5,-0.42,-0.85
10280,1,6,5,5,1.82,1.21,1.26,2.17
10281,2,8,1,1,-1.54,-0.92,-1.09,-0.6
10282,2,8,4,2,-1.54,-0.5,0.32,-1.25
10283,2,6,2,5,1.28,1.21,0.32,0.05
10284,2,4,1,3,-1.54,-0.5,-1.09,-1.24
10285,1,7,3,5,0.12,-0.11,0.05,-0.21
10286,1,8,5,5,1.24,1.21,0.32,1.13
10287,2,5,2,1,-0.42,1.21,0.24,-1
10288,2,8,3,4,0.7,-0.5,-0.94,-0.47
10290,2,3,5,5,1.82,1.21,0.71,1.13
10291,2,8,-8,-8,-8,-8,-8,-8
10293,1,3,1,2,0.12,-2.22,0.32,-7
10294,1,8,5,5,0.7,0.13,0.32,0.96
10297,2,8,5,4,-0.42,-0.5,1.73,-0.35
10298,1,8,3,2,-0.42,-0.5,0.32,-0.35
10299,2,2,1,3,-0.42,-0.5,-0.15,-1.49
10300,2,8,3,2,-1.54,-0.5,-1.26,-7
10301,1,8,1,2,-0.42,0.8,-1.09,-0.2
10302,1,3,2,3,-1.54,-1.8,1.52,-0.85
10303,1,8,4,4,-1.54,-0.92,-2.5,-1.89
10304,1,5,5,3,0.7,1.21,1.73,1.23
10305,2,5,2,5,-0.42,-0.5,0.11,0.19
10306,2,5,-8,-8,-8,-8,-8,-8
10307,1,8,1,1,0.12,-0.09,-9,-7
10308,1,3,2,3,0.7,-0.5,0.11,0.21
10309,2,3,3,1,-1.54,-0.5,-1.3,-7
10310,2,8,-8,-8,-8,-8,-8,-8
10311,1,3,4,5,1.82,1.21,1.73,1.77
10312,2,2,4,4,0.16,-1.8,0.32,-0.85
10314,2,6,4,2,0.7,0.8,-0.06,-0.29
10315,1,8,5,3,-1.54,-0.5,-1.3,-9
10316,2,8,5,5,1.82,-0.5,0.32,0.31
10317,1,3,5,2,0.12,-0.5,0.55,1.92
10318,1,8,2,3,0.7,-0.5,0.32,-7
10320,2,2,4,5,1.82,-0.5,1.73,0.44
10321,1,5,2,1,0.7,1.21,0.79,1.1
10322,1,8,5,4,0.7,1.21,0.32,1.36
10323,2,8,3,2,-0.42,-0.5,0.11,0.19
10324,2,8,5,4,0.7,-2,-1.3,-1.89
10325,1,5,2,5,0.7,0.8,0.32,0.71
10326,2,2,5,5,0.7,1.21,0.11,-0.6
10327,1,5,2,1,-1.54,-2.22,-2.11,-7
10328,2,8,5,1,0.12,-0.92,1.52,0.19
10329,2,8,5,3,-1.54,-0.28,-1.26,-1
10330,1,8,3,3,-1,-0.5,0.32,0.71
10331,2,8,4,4,-0.42,1.21,1.38,0.71
10332,1,8,5,5,0.12,-0.5,1.32,-1.5
10333,2,3,-8,-8,-8,-8,-8,-8
10334,2,5,5,3,0.16,0.55,1.52,-0.6
10335,2,5,1,5,1.82,0.55,0.91,2.17
10336,1,8,3,4,-0.42,-0.5,0.32,-0.85
10338,1,8,5,5,0.12,0.13,0.32,0.19
10339,1,5,3,3,0.12,-0.5,0.32,0.44
10340,1,8,5,4,-0.42,-0.5,1.17,-0.35
10341,1,5,1,1,-1.54,1.21,0.75,-7
10342,1,3,3,1,0.12,0.13,0.32,1.38
10343,1,5,-8,-8,-8,-8,-8,-8
10344,2,8,3,4,-1.54,-2.25,1.73,1.23
10345,1,2,-8,-8,-8,-8,-8,-8
10346,1,7,5,4,0.16,-1.58,0.32,-0.46
10347,1,5,1,5,-0.42,1.21,0.5,-1
10348,1,5,5,4,1.82,1.21,1.73,1.65
10349,1,5,-8,-8,-8,-8,-8,-8
10350,2,8,1,3,-0.42,1.21,0.11,1.13
10351,1,8,-8,-8,-8,-8,-8,-8
10352,2,8,5,4,0.7,-1.58,0.32,-0.21
10353,2,8,2,5,0.7,-0.5,0.32,0.19
10354,1,8,3,4,0.12,-0.5,-0.35,-0.6
10355,1,6,5,5,1.82,0.8,1.73,1.75
10356,2,8,3,2,-1.54,-0.5,-9,-0.6
10357,1,8,4,1,-0.96,-0.5,-1.09,-0.6
10359,1,2,4,5,0.7,0.13,0.32,-0.35
10360,1,2,2,3,-1.54,-0.09,-0.24,0.44
10361,1,6,2,5,0.7,0.13,0.32,0.96
10362,2,8,1,1,-1.54,-0.5,-1.55,-1.25
10363,1,8,5,4,0.7,0.8,-0.7,-0.6
10364,2,8,3,4,1.82,0.8,0.71,1.38
10365,1,8,5,5,0.7,-0.5,0.32,-1.64
10366,2,6,1,2,1.82,-9,1.73,-9
10367,1,6,2,3,-1.54,0.13,1.11,-1.89
10368,1,8,5,5,1.82,0.8,-0.35,1.13
10369,1,8,4,3,1.82,1.21,1.06,-7
10372,1,8,-8,-8,-8,-8,-8,-8
10373,1,8,4,5,1.24,0.8,0.71,-0.18
10374,1,8,2,1,0.16,-0.5,0.32,-7
10375,1,8,5,3,-1.54,-1.58,-0.7,-1.24
10376,1,8,5,4,-1.54,-0.5,-1.26,-1.24
10377,1,5,-8,-8,-8,-8,-8,-8
10378,2,5,2,3,-0.96,-0.5,-1.09,-7
10379,2,8,5,3,0.12,0.13,0.32,-0.2
10380,1,3,3,4,-1.54,1.21,0.11,1.11
10381,1,3,4,1,0.16,0.16,-9,-7
10383,1,8,5,5,1.82,0.55,1.73,0.71
10384,2,3,1,2,0.75,1.21,1.73,-9
10385,1,8,5,5,1.24,1.21,0.32,1.37
10386,2,6,5,5,-0.42,0.13,0.11,-0.21
10387,2,5,4,2,-0.96,-0.5,-0.35,-0.6
10388,1,3,-8,-8,-8,-8,-8,-8
10389,2,2,5,-8,-8,-8,-8,-8
10390,1,8,5,5,0.66,1.21,1.73,1.77
10391,1,3,2,4,0.7,-0.26,-0.15,-1.5
10392,2,6,5,5,-1.54,0.8,-2.5,0.84
10393,2,8,5,2,-1.54,-0.5,-0.35,0.19
10394,1,8,5,5,0.7,1.21,-0.5,-9
10395,2,8,4,2,0.12,-0.5,-0.03,0.61
10396,2,8,4,4,1.82,1.21,1.73,-7
10397,1,3,5,5,0.12,-0.5,0.32,-0.2
10398,1,2,4,2,-1.54,-0.5,-1.76,-7
10399,2,8,4,3,-1.54,-3.3,-0.91,-1.89
10400,1,6,5,5,1.82,0.8,1.73,1.75
10401,2,5,2,1,-9,-9,0.32,-0.21
10402,1,3,5,1,1.82,0.38,1.73,0.22
10403,1,8,2,2,-1.54,-0.5,-0.35,-7
10404,1,8,5,5,-1.54,-0.28,-1.09,-0.85
10405,1,6,-8,-8,-8,-8,-8,-8
10406,2,6,2,2,-0.42,-0.5,-1.09,-7
10408,1,8,2,3,-0.42,-1.17,-1.44,-0.6
10409,1,8,5,5,0.7,1.21,0.32,0.31
10410,2,5,4,2,-1.54,-0.5,-1.09,-0.85
10411,2,2,5,4,1.24,1.21,-0.24,0.96
10412,1,3,2,1,0.7,0.58,0.67,0.71
10413,2,4,2,1,-1.54,-0.5,-1.09,-0.59
10414,2,8,2,5,0.16,-0.5,-0.74,0.19
10415,2,8,4,3,0.16,-1.17,0.35,-1.5
10416,2,4,2,2,-0.42,0.58,-1.09,-0.6
10417,1,8,5,4,1.82,1.21,1.73,-7
10418,1,5,-8,-8,-8,-8,-8,-8
10419,2,8,-8,-8,-8,-8,-8,-8
10421,2,3,-8,-8,-8,-8,-8,-8
10422,1,3,3,3,-0.42,-0.5,0.93,-0.6
10423,1,6,5,4,1.82,1.21,1.73,-7
10424,1,8,2,3,0.16,1.21,0.32,-7
10425,1,8,4,5,1.82,1.21,1.73,2.17
10426,1,3,3,1,-0.42,-0.5,-1.09,-7
10427,1,2,4,5,1.24,1.21,0.88,2.17
10428,2,8,-8,-8,-8,-8,-8,-8
10429,2,3,1,4,1.28,1.21,0.11,1.38
10430,2,6,5,4,-0.42,-0.5,-0.24,0.19
10431,2,3,3,3,0.12,-0.5,0.32,-0.2
10432,1,5,1,3,0.16,-0.5,1.73,-1.1
10433,2,8,4,4,-0.42,-0.5,-1.09,-0.59
10434,2,2,4,4,-0.42,-0.5,-1.09,-1.64
10435,1,3,3,1,-0.42,-0.5,0.11,0.05
10436,2,8,4,3,0.7,0.8,1.73,1.23
10437,1,8,5,5,0.7,-0.5,0.32,1.1
10438,1,2,5,3,0.75,1.21,0.32,0.58
10439,1,3,2,2,-0.42,-0.5,-1.09,-9
10440,1,8,-8,-8,-8,-8,-8,-8
10441,1,7,4,5,1.82,1.21,1.73,2.17
10442,2,5,1,2,-0.42,-0.5,-0.74,-0.6
10443,2,3,5,3,-1.54,-0.5,0.11,-0.99
10444,1,8,2,1,-1.54,-0.5,-0.7,-9
10445,2,8,5,5,0.16,-1.17,0.32,-1.25
10446,2,5,3,2,0.7,1.21,0.71,0.96
10447,1,2,2,4,-0.37,1.21,-1.3,-1.14
10448,1,8,4,5,0.7,1.21,0.32,-0.08
10449,1,8,5,4,-1.54,-0.5,-1.09,-1.89
10450,1,2,2,4,-0.42,0.55,-0.24,0.96
10451,2,5,1,2,0.12,1.21,0.32,1.78
10452,1,5,3,3,0.7,-0.5,1.52,-0.85
10453,1,5,-8,-8,-8,-8,-8,-8
10454,1,8,5,5,0.16,1.21,0.79,-1.5
10456,1,2,2,5,1.24,1.21,1.52,1.13
10457,2,8,5,3,-1.54,-0.5,-0.35,-1.39
10458,2,2,3,4,1.28,-0.5,0.21,-0.2
10459,1,3,3,1,0.16,1.21,-0.88,-7
10460,2,8,1,1,-0.42,-0.5,-1.09,-0.6
10461,1,8,4,3,-0.42,-0.28,-0.35,-0.85
10463,2,8,3,3,-0.42,-0.5,-0.91,-7
10464,2,8,-8,-8,-8,-8,-8,-8
10465,1,8,3,2,-0.42,-9,-0.7,-0.06
10466,2,8,2,2,0.7,1.21,0.67,-9
10467,1,8,3,3,0.7,1.21,0.5,1.36
10468,2,6,2,2,0.16,-0.5,-0.24,0.44
10469,1,3,3,2,-1.54,-0.28,-0.5,0.44
10471,1,8,-8,-8,-8,-8,-8,-8
10472,2,8,-8,-8,-8,-8,-8,-8
10473,1,6,5,1,-1.54,-1.17,-0.09,-1.49
10474,2,8,3,1,-0.42,-0.92,-0.7,-0.6
10475,1,8,4,4,0.7,0.55,0.11,-0.21
10476,1,5,3,2,0.7,0.8,0.32,1.13
10477,1,3,3,2,-9,-9,-9,-9
10478,2,6,2,3,-1.54,0.8,1.34,-1.89
10480,2,3,2,3,-9,-0.09,-0.03,1.38
10481,2,2,5,4,0.7,-0.5,-0.15,-0.75
10483,2,8,4,4,-1.54,-2,-0.15,-0.6
10484,1,6,3,3,-1.54,-1.17,-0.32,-0.21
10485,1,3,1,2,1.82,1.21,0.24,-7
10486,2,6,5,5,0.16,-0.28,-0.15,-1
10488,2,8,4,2,-0.42,-0.5,0.32,0.19
10489,2,8,2,2,-0.42,-1.17,0.32,1.13
10490,2,6,1,1,-1.54,-0.09,-1.09,-7
10491,2,3,1,1,-0.42,1.21,0.32,0.19
10492,2,5,4,3,-0.42,-0.5,-9,-0.2
10493,2,8,-8,-8,-8,-8,-8,-8
10494,1,8,5,5,1.28,0.8,1.73,1.75
10495,1,8,-8,-8,-8,-8,-8,-8
10496,1,8,4,1,0.12,-1.14,-0.35,-0.6
10497,2,8,-8,-8,-8,-8,-8,-8
10498,1,8,2,2,1.24,1.21,0.5,1.13
10499,2,8,5,5,0.7,-1.61,-0.7,0.46
10500,2,8,4,1,-0.96,-9,-1.76,-1.49
10501,2,5,2,4,-0.42,-0.09,-0.24,-7
10502,1,8,4,4,1.82,1.21,0.11,1.92
10503,2,8,-8,-8,-8,-8,-8,-8
10504,1,6,4,5,1.82,0.8,1.73,2.17
10505,1,3,4,3,0.7,1.21,0.32,1.13
10506,1,8,4,3,0.7,-1.83,-0.53,0.06
10507,1,3,5,1,-1.54,0.55,-0.88,-1.14
10508,2,8,3,4,-9,-9,-9,-9
10509,2,8,1,2,-1.54,-0.5,-1.09,-0.99
10510,2,8,4,5,0.7,0.38,-0.35,0.71
10511,1,5,1,5,1.82,1.21,1.73,1.52
10512,2,5,1,3,1.82,1.21,1.52,1.13
10513,2,5,1,-8,-8,-8,-8,-8
10514,1,3,3,1,0.7,-0.5,0.32,0.48
10515,2,8,5,2,-0.42,-0.5,-1.09,-0.85
10516,1,8,4,2,-0.42,0.13,-0.27,-0.21
10517,1,3,-8,-8,-8,-8,-8,-8
10518,1,8,1,4,-0.42,-0.5,0.32,-0.6
10519,1,8,5,3,0.7,-0.5,-0.06,-7
10520,2,5,2,4,-1.54,-1.58,-0.62,-1.89
10521,1,2,5,5,0.7,-0.53,-1.09,-1
10522,2,8,2,2,0.7,-0.5,-1.3,0.73
10523,1,3,3,1,0.7,1.21,1.73,1.65
10524,1,8,4,2,-1.54,-2,-1.3,-1.39
10525,1,6,1,4,-1.54,0.13,-0.24,-0.74
10526,2,8,2,1,-1.54,1.21,-1.73,-1.49
10527,2,8,-8,-8,-8,-8,-8,-8
10528,1,8,5,2,-1.54,-1.17,-0.91,-1.64
10529,2,8,4,4,0.7,0.16,0.32,1.75
10530,1,8,5,1,-1.54,-0.5,-0.91,-1
10531,2,8,3,2,-0.42,-0.5,0.32,0.19
10532,2,8,-8,-8,-8,-8,-8,-8
10533,1,8,1,3,-0.42,-0.5,0.5,-1.25
10534,2,8,3,4,1.24,-0.28,0.11,0.71
10535,2,8,4,4,0.16,0.8,0.32,0.04
10536,1,5,-8,-8,-8,-8,-8,-8
10537,1,5,-8,-8,-8,-8,-8,-8
