,STU_ID,X2SEX,X2RACE,X2SESQ5,X2TXMQUINT,X2MTHID,X2MTHUTI,X2MTHEFF,X2MTHINT_R
30,10054,2,6,1,3,-0.42,-0.5,0.11,-0.6
31,10055,1,2,5,5,0.7,1.21,0.32,0.96
32,10056,2,8,2,3,-0.42,0.8,0.67,-0.2
33,10058,2,2,5,2,-1.54,1.21,-2.11,-1.89
34,10060,1,5,3,4,0.7,0.8,0.91,0.96
35,10062,1,6,1,4,-0.42,-0.5,-0.7,-0.6
36,10063,1,5,2,1,-1.54,-0.5,-0.15,0.19
37,10066,1,8,3,3,-1.54,-0.5,-0.35,-1.25
38,10067,1,2,2,5,1.24,1.21,0.32,0.98
39,10068,2,8,2,2,-0.42,-0.92,-1.09,-0.6
40,10069,1,2,5,5,1.82,-0.92,-0.15,1.38
41,10070,1,8,5,5,-0.42,0.38,-0.15,-0.2
42,10071,2,8,4,3,-0.42,-0.5,-1.09,-0.85
43,10072,2,8,2,1,-1.54,-0.5,-1.09,-1.24
44,10075,2,8,3,3,-1.54,-1.58,-2.5,-1.89
45,10078,1,3,5,5,0.7,0.13,-0.74,-0.99
46,10079,2,6,4,4,1.28,0.8,-0.88,-1.25
47,10081,2,8,4,2,-1.54,0.38,-0.44,-0.34
48,10082,1,5,4,1,-1.54,-3.94,-2.5,-1.89
49,10084,1,8,3,4,0.7,-0.5,0.32,0.19
50,10085,1,8,4,5,0.7,1.21,0.53,0.61
51,10086,2,2,3,5,1.24,1.21,0.11,0.71
52,10087,1,6,2,4,0.7,1.21,1.73,0.09
53,10088,2,6,5,3,0.16,-0.5,-0.03,-0.35
54,10090,2,6,3,3,-0.96,1.21,0.47,0.44
55,10096,2,3,3,2,0.16,-0.5,0.79,-0.21
56,10097,2,5,5,3,0.7,0.13,-0.7,0.17
57,10099,2,8,5,5,1.28,1.21,0.32,0.71
58,10100,2,8,3,3,-1.54,-2.25,-2.5,-1.89
59,10103,1,5,3,2,0.7,1.21,0.32,-0.18
60,10105,2,8,5,5,0.16,-0.5,0.32,0.71
61,10106,1,3,1,4,0.7,0.8,0.32,0.71
62,10107,2,3,5,4,0.7,1.21,0.32,1.13
63,10108,2,6,1,4,0.12,-0.28,-1.55,0.19
64,10109,2,6,4,2,-0.42,1.21,0.32,1.23
65,10110,2,8,5,5,1.28,0.55,1.52,1.65
66,10112,1,2,5,5,1.82,0.8,0.53,0.96
67,10115,1,8,3,4,0.7,-0.5,0.32,0.19
68,10117,2,8,4,4,-0.42,-0.92,-1.09,-0.2
69,10120,1,5,1,3,0.12,1.21,0.32,0.44
70,10121,1,6,5,2,1.28,1.21,0.91,1.11
71,10122,2,2,4,4,1.82,1.21,1.73,2.17
72,10124,2,8,2,1,-0.42,1.21,-0.7,0.44
73,10126,1,8,5,2,-1.54,1.21,-0.15,-1.14
74,10128,1,2,5,4,-0.96,0.13,-0.53,-0.35
75,10129,1,6,4,5,0.7,-0.5,1.52,0.71
76,10131,1,5,5,5,1.82,1.21,1.73,0.31
77,10132,2,8,4,5,-0.42,-0.5,0.11,-0.21
78,10136,2,8,4,1,-1.54,1.21,-1.88,-0.71
79,10138,1,3,1,2,1.24,1.21,0.32,0.21
80,10139,1,8,2,2,0.7,0.13,-0.62,0.71
81,10141,1,3,3,3,-0.42,1.21,0.11,-1.0
82,10143,1,2,4,4,0.12,-0.5,0.32,0.44
83,10145,1,6,4,3,-0.42,-0.5,0.32,-0.2
84,10146,2,6,3,3,-1.54,-0.5,-0.38,-0.75
85,10149,1,8,3,3,-1.54,-2.66,-0.7,-0.2
86,10150,1,8,5,4,-0.42,-0.5,-1.68,-0.99
87,10153,1,8,3,5,1.24,0.13,0.11,1.38
88,10154,1,8,2,4,-0.37,-0.5,1.34,0.19
89,10155,1,5,1,4,0.7,-0.5,0.32,1.38
90,10158,1,8,5,4,0.7,1.21,1.73,1.75
91,10159,2,8,3,3,-1.54,-0.5,-0.44,-1.39
92,10160,2,8,2,4,-0.42,0.13,0.11,-1.64
93,10161,1,8,1,3,0.16,0.8,0.11,0.19
94,10162,1,5,1,5,0.7,-0.5,0.32,-0.2
95,10163,1,5,4,5,0.12,-0.5,-0.74,-0.45
96,10164,1,2,5,4,0.16,0.8,0.32,-0.21
97,10165,1,8,3,1,-1.54,-0.5,-0.5,-0.99
98,10166,1,8,5,5,1.24,1.21,1.73,0.87
99,10167,1,8,5,3,0.21,-1.19,-1.3,-1.89
100,10168,1,8,5,3,1.28,1.21,1.52,1.35
101,10170,1,2,4,5,1.82,1.21,1.52,2.17
102,10171,2,8,5,5,1.28,1.21,-0.09,-0.35
103,10172,2,8,1,1,-0.42,-0.5,-0.96,-0.6
104,10173,2,8,5,5,1.82,1.21,1.73,2.17
105,10175,1,2,4,5,0.16,0.13,0.32,0.98
106,10176,2,8,1,1,-0.42,-0.5,0.32,-0.21
107,10178,2,8,4,5,0.16,0.13,-1.3,-0.99
108,10179,2,2,4,4,0.7,-0.5,0.32,-0.6
109,10181,1,8,1,1,-0.42,1.21,0.32,-0.74
110,10183,2,8,5,4,-1.54,0.8,-0.56,-1.64
111,10186,2,6,3,5,0.7,-0.5,0.32,0.61
112,10187,2,6,4,3,0.7,-0.5,0.32,0.61
113,10189,2,2,5,3,-0.37,-0.5,0.32,0.19
114,10190,1,8,2,1,0.16,1.21,0.32,0.44
115,10192,1,7,2,2,1.82,1.21,1.73,1.75
116,10193,2,8,5,1,0.7,-0.5,0.71,-1.25
117,10194,1,8,3,5,0.7,1.21,0.32,1.13
118,10195,1,6,5,3,0.7,0.13,0.32,0.19
119,10196,2,8,5,3,0.16,-0.5,0.32,0.61
120,10197,1,2,2,5,0.7,0.8,1.17,0.96
121,10201,2,8,2,1,-1.54,-0.5,-2.11,1.23
122,10202,1,8,5,2,0.12,1.21,0.32,0.44
123,10203,1,2,3,3,-0.42,-0.5,-0.06,-0.21
124,10204,1,5,3,1,-1.54,-1.58,-0.88,-0.85
125,10205,2,8,1,2,-0.42,-0.5,0.32,-0.6
126,10206,2,8,5,4,1.24,0.8,-0.35,0.59
127,10207,1,1,1,3,0.7,-0.5,1.73,1.1
128,10209,1,5,2,2,-1.54,1.21,0.11,-0.2
129,10210,1,5,5,5,1.24,1.21,1.73,1.75
130,10211,2,8,5,3,0.7,1.21,-0.15,1.13
131,10212,1,8,5,5,1.82,-2.25,1.73,1.52
132,10213,2,8,5,4,0.7,-1.56,0.11,0.46
133,10214,1,6,1,5,0.16,-0.5,-0.09,0.19
134,10216,1,8,5,5,1.82,1.21,1.38,0.31
135,10217,2,5,4,5,-0.96,-0.5,-0.32,-1.64
136,10218,1,8,3,3,-0.96,0.13,0.32,-0.2
137,10219,1,8,4,2,-0.42,-1.17,0.32,-0.6
138,10220,1,8,1,5,-1.54,-2.47,-2.5,-1.89
139,10221,1,6,3,4,0.12,1.21,0.71,-0.73
140,10222,1,2,2,1,-1.54,1.21,0.72,-0.99
141,10224,1,8,5,4,0.7,1.21,1.52,1.75
142,10226,2,1,5,4,1.82,1.21,0.71,1.52
143,10227,2,3,4,4,0.12,1.21,0.11,0.96
144,10228,2,8,1,1,-0.42,-1.17,0.5,0.84
145,10229,2,8,5,4,0.7,1.21,1.52,0.96
146,10230,1,5,2,4,-0.42,-0.5,-0.7,-1.39
147,10231,2,5,5,3,-0.96,-1.17,0.11,-1.14
148,10232,1,8,1,2,0.16,-0.5,0.67,-0.21
149,10233,1,8,5,4,-0.42,-0.5,0.32,-0.6
150,10235,2,8,3,3,-0.42,-0.5,0.11,-0.6
151,10237,1,8,2,1,-0.42,-0.92,1.06,0.56
152,10239,2,5,2,4,1.82,-0.95,-0.09,-0.45
153,10241,1,8,5,3,-0.42,-0.5,-0.06,-0.6
154,10247,1,8,3,4,-0.42,-1.17,0.11,0.44
155,10249,1,6,5,5,0.7,0.8,-1.09,0.34
156,10250,1,8,5,5,1.28,0.8,1.32,-1.1
157,10251,2,5,4,3,1.82,1.21,1.73,2.17
158,10252,2,6,3,4,0.7,-1.17,0.32,-1.89
159,10254,2,5,1,3,-0.42,1.21,-0.74,0.71
160,10256,2,3,3,3,0.7,0.8,-0.82,0.06
161,10257,2,8,5,4,0.7,1.21,0.32,1.36
162,10258,1,8,3,5,-0.42,-2.66,0.11,-1.25
163,10260,2,8,5,5,1.82,1.21,1.73,2.17
164,10263,1,5,1,2,1.24,0.8,-0.24,-0.43
165,10266,2,8,5,5,0.12,-1.17,0.11,0.46
166,10270,1,3,3,1,-1.54,-0.5,0.11,-0.6
167,10272,1,8,5,3,0.7,1.21,0.32,0.71
168,10273,1,8,5,5,0.16,-0.5,-0.7,-0.6
169,10274,2,8,5,5,1.24,1.21,0.53,1.75
170,10275,1,3,4,2,-0.42,-1.17,-0.35,-1.0
171,10277,1,3,5,4,1.24,-0.5,1.73,0.73
172,10278,1,5,2,3,-1.54,-0.5,-0.42,-0.85
173,10280,1,6,5,5,1.82,1.21,1.26,2.17
174,10281,2,8,1,1,-1.54,-0.92,-1.09,-0.6
175,10282,2,8,4,2,-1.54,-0.5,0.32,-1.25
176,10283,2,6,2,5,1.28,1.21,0.32,0.05
177,10284,2,4,1,3,-1.54,-0.5,-1.09,-1.24
178,10285,1,7,3,5,0.12,-0.11,0.05,-0.21
179,10286,1,8,5,5,1.24,1.21,0.32,1.13
180,10287,2,5,2,1,-0.42,1.21,0.24,-1.0
181,10288,2,8,3,4,0.7,-0.5,-0.94,-0.47
182,10290,2,3,5,5,1.82,1.21,0.71,1.13
183,10294,1,8,5,5,0.7,0.13,0.32,0.96
184,10297,2,8,5,4,-0.42,-0.5,1.73,-0.35
185,10298,1,8,3,2,-0.42,-0.5,0.32,-0.35
186,10299,2,2,1,3,-0.42,-0.5,-0.15,-1.49
187,10301,1,8,1,2,-0.42,0.8,-1.09,-0.2
188,10302,1,3,2,3,-1.54,-1.8,1.52,-0.85
189,10303,1,8,4,4,-1.54,-0.92,-2.5,-1.89
190,10304,1,5,5,3,0.7,1.21,1.73,1.23
191,10305,2,5,2,5,-0.42,-0.5,0.11,0.19
192,10308,1,3,2,3,0.7,-0.5,0.11,0.21
193,10311,1,3,4,5,1.82,1.21,1.73,1.77
194,10312,2,2,4,4,0.16,-1.8,0.32,-0.85
195,10314,2,6,4,2,0.7,0.8,-0.06,-0.29
196,10316,2,8,5,5,1.82,-0.5,0.32,0.31
197,10317,1,3,5,2,0.12,-0.5,0.55,1.92
198,10320,2,2,4,5,1.82,-0.5,1.73,0.44
199,10321,1,5,2,1,0.7,1.21,0.79,1.1
200,10322,1,8,5,4,0.7,1.21,0.32,1.36
201,10323,2,8,3,2,-0.42,-0.5,0.11,0.19
202,10324,2,8,5,4,0.7,-2.0,-1.3,-1.89
203,10325,1,5,2,5,0.7,0.8,0.32,0.71
204,10326,2,2,5,5,0.7,1.21,0.11,-0.6
205,10328,2,8,5,1,0.12,-0.92,1.52,0.19
206,10329,2,8,5,3,-1.54,-0.28,-1.26,-1.0
207,10330,1,8,3,3,-1.0,-0.5,0.32,0.71
208,10331,2,8,4,4,-0.42,1.21,1.38,0.71
209,10332,1,8,5,5,0.12,-0.5,1.32,-1.5
210,10334,2,5,5,3,0.16,0.55,1.52,-0.6
211,10335,2,5,1,5,1.82,0.55,0.91,2.17
212,10336,1,8,3,4,-0.42,-0.5,0.32,-0.85
213,10338,1,8,5,5,0.12,0.13,0.32,0.19
214,10339,1,5,3,3,0.12,-0.5,0.32,0.44
215,10340,1,8,5,4,-0.42,-0.5,1.17,-0.35
216,10342,1,3,3,1,0.12,0.13,0.32,1.38
217,10344,2,8,3,4,-1.54,-2.25,1.73,1.23
218,10346,1,7,5,4,0.16,-1.58,0.32,-0.46
219,10347,1,5,1,5,-0.42,1.21,0.5,-1.0
220,10348,1,5,5,4,1.82,1.21,1.73,1.65
221,10350,2,8,1,3,-0.42,1.21,0.11,1.13
222,10352,2,8,5,4,0.7,-1.58,0.32,-0.21
223,10353,2,8,2,5,0.7,-0.5,0.32,0.19
224,10354,1,8,3,4,0.12,-0.5,-0.35,-0.6
225,10355,1,6,5,5,1.82,0.8,1.73,1.75
226,10357,1,8,4,1,-0.96,-0.5,-1.09,-0.6
227,10359,1,2,4,5,0.7,0.13,0.32,-0.35
228,10360,1,2,2,3,-1.54,-0.09,-0.24,0.44
229,10361,1,6,2,5,0.7,0.13,0.32,0.96
230,10362,2,8,1,1,-1.54,-0.5,-1.55,-1.25
231,10363,1,8,5,4,0.7,0.8,-0.7,-0.6
232,10364,2,8,3,4,1.82,0.8,0.71,1.38
233,10365,1,8,5,5,0.7,-0.5,0.32,-1.64
234,10367,1,6,2,3,-1.54,0.13,1.11,-1.89
235,10368,1,8,5,5,1.82,0.8,-0.35,1.13
236,10373,1,8,4,5,1.24,0.8,0.71,-0.18
237,10375,1,8,5,3,-1.54,-1.58,-0.7,-1.24
238,10376,1,8,5,4,-1.54,-0.5,-1.26,-1.24
239,10379,2,8,5,3,0.12,0.13,0.32,-0.2
240,10380,1,3,3,4,-1.54,1.21,0.11,1.11
241,10383,1,8,5,5,1.82,0.55,1.73,0.71
242,10385,1,8,5,5,1.24,1.21,0.32,1.37
243,10386,2,6,5,5,-0.42,0.13,0.11,-0.21
244,10387,2,5,4,2,-0.96,-0.5,-0.35,-0.6
245,10390,1,8,5,5,0.66,1.21,1.73,1.77
246,10391,1,3,2,4,0.7,-0.26,-0.15,-1.5
247,10392,2,6,5,5,-1.54,0.8,-2.5,0.84
248,10393,2,8,5,2,-1.54,-0.5,-0.35,0.19
249,10395,2,8,4,2,0.12,-0.5,-0.03,0.61
250,10397,1,3,5,5,0.12,-0.5,0.32,-0.2
251,10399,2,8,4,3,-1.54,-3.3,-0.91,-1.89
252,10400,1,6,5,5,1.82,0.8,1.73,1.75
253,10402,1,3,5,1,1.82,0.38,1.73,0.22
254,10404,1,8,5,5,-1.54,-0.28,-1.09,-0.85
255,10408,1,8,2,3,-0.42,-1.17,-1.44,-0.6
256,10409,1,8,5,5,0.7,1.21,0.32,0.31
257,10410,2,5,4,2,-1.54,-0.5,-1.09,-0.85
258,10411,2,2,5,4,1.24,1.21,-0.24,0.96
259,10412,1,3,2,1,0.7,0.58,0.67,0.71
260,10413,2,4,2,1,-1.54,-0.5,-1.09,-0.59
261,10414,2,8,2,5,0.16,-0.5,-0.74,0.19
262,10415,2,8,4,3,0.16,-1.17,0.35,-1.5
263,10416,2,4,2,2,-0.42,0.58,-1.09,-0.6
264,10422,1,3,3,3,-0.42,-0.5,0.93,-0.6
265,10425,1,8,4,5,1.82,1.21,1.73,2.17
266,10427,1,2,4,5,1.24,1.21,0.88,2.17
267,10429,2,3,1,4,1.28,1.21,0.11,1.38
268,10430,2,6,5,4,-0.42,-0.5,-0.24,0.19
269,10431,2,3,3,3,0.12,-0.5,0.32,-0.2
270,10432,1,5,1,3,0.16,-0.5,1.73,-1.1
271,10433,2,8,4,4,-0.42,-0.5,-1.09,-0.59
272,10434,2,2,4,4,-0.42,-0.5,-1.09,-1.64
273,10435,1,3,3,1,-0.42,-0.5,0.11,0.05
274,10436,2,8,4,3,0.7,0.8,1.73,1.23
275,10437,1,8,5,5,0.7,-0.5,0.32,1.1
276,10438,1,2,5,3,0.75,1.21,0.32,0.58
277,10441,1,7,4,5,1.82,1.21,1.73,2.17
278,10442,2,5,1,2,-0.42,-0.5,-0.74,-0.6
279,10443,2,3,5,3,-1.54,-0.5,0.11,-0.99
280,10445,2,8,5,5,0.16,-1.17,0.32,-1.25
281,10446,2,5,3,2,0.7,1.21,0.71,0.96
282,10447,1,2,2,4,-0.37,1.21,-1.3,-1.14
283,10448,1,8,4,5,0.7,1.21,0.32,-0.08
284,10449,1,8,5,4,-1.54,-0.5,-1.09,-1.89
285,10450,1,2,2,4,-0.42,0.55,-0.24,0.96
286,10451,2,5,1,2,0.12,1.21,0.32,1.78
287,10452,1,5,3,3,0.7,-0.5,1.52,-0.85
288,10454,1,8,5,5,0.16,1.21,0.79,-1.5
289,10456,1,2,2,5,1.24,1.21,1.52,1.13
290,10457,2,8,5,3,-1.54,-0.5,-0.35,-1.39
291,10458,2,2,3,4,1.28,-0.5,0.21,-0.2
292,10460,2,8,1,1,-0.42,-0.5,-1.09,-0.6
293,10461,1,8,4,3,-0.42,-0.28,-0.35,-0.85
294,10467,1,8,3,3,0.7,1.21,0.5,1.36
295,10468,2,6,2,2,0.16,-0.5,-0.24,0.44
296,10469,1,3,3,2,-1.54,-0.28,-0.5,0.44
297,10473,1,6,5,1,-1.54,-1.17,-0.09,-1.49
298,10474,2,8,3,1,-0.42,-0.92,-0.7,-0.6
299,10475,1,8,4,4,0.7,0.55,0.11,-0.21
300,10476,1,5,3,2,0.7,0.8,0.32,1.13
301,10478,2,6,2,3,-1.54,0.8,1.34,-1.89
302,10481,2,2,5,4,0.7,-0.5,-0.15,-0.75
303,10483,2,8,4,4,-1.54,-2.0,-0.15,-0.6
304,10484,1,6,3,3,-1.54,-1.17,-0.32,-0.21
305,10486,2,6,5,5,0.16,-0.28,-0.15,-1.0
306,10488,2,8,4,2,-0.42,-0.5,0.32,0.19
307,10489,2,8,2,2,-0.42,-1.17,0.32,1.13
308,10491,2,3,1,1,-0.42,1.21,0.32,0.19
309,10494,1,8,5,5,1.28,0.8,1.73,1.75
310,10496,1,8,4,1,0.12,-1.14,-0.35,-0.6
311,10498,1,8,2,2,1.24,1.21,0.5,1.13
312,10499,2,8,5,5,0.7,-1.61,-0.7,0.46
313,10502,1,8,4,4,1.82,1.21,0.11,1.92
314,10504,1,6,4,5,1.82,0.8,1.73,2.17
315,10505,1,3,4,3,0.7,1.21,0.32,1.13
316,10506,1,8,4,3,0.7,-1.83,-0.53,0.06
317,10507,1,3,5,1,-1.54,0.55,-0.88,-1.14
318,10509,2,8,1,2,-1.54,-0.5,-1.09,-0.99
319,10510,2,8,4,5,0.7,0.38,-0.35,0.71
320,10511,1,5,1,5,1.82,1.21,1.73,1.52
321,10512,2,5,1,3,1.82,1.21,1.52,1.13
322,10514,1,3,3,1,0.7,-0.5,0.32,0.48
323,10515,2,8,5,2,-0.42,-0.5,-1.09,-0.85
324,10516,1,8,4,2,-0.42,0.13,-0.27,-0.21
325,10518,1,8,1,4,-0.42,-0.5,0.32,-0.6
326,10520,2,5,2,4,-1.54,-1.58,-0.62,-1.89
327,10521,1,2,5,5,0.7,-0.53,-1.09,-1.0
328,10522,2,8,2,2,0.7,-0.5,-1.3,0.73
329,10523,1,3,3,1,0.7,1.21,1.73,1.65
330,10524,1,8,4,2,-1.54,-2.0,-1.3,-1.39
331,10525,1,6,1,4,-1.54,0.13,-0.24,-0.74
332,10526,2,8,2,1,-1.54,1.21,-1.73,-1.49
333,10528,1,8,5,2,-1.54,-1.17,-0.91,-1.64
334,10529,2,8,4,4,0.7,0.16,0.32,1.75
335,10530,1,8,5,1,-1.54,-0.5,-0.91,-1.0
336,10531,2,8,3,2,-0.42,-0.5,0.32,0.19
337,10533,1,8,1,3,-0.42,-0.5,0.5,-1.25
338,10534,2,8,3,4,1.24,-0.28,0.11,0.71
339,10535,2,8,4,4,0.16,0.8,0.32,0.04
340,10538,1,8,1,3,-1.54,0.13,-1.09,-0.99
341,10540,1,8,5,4,0.12,-0.5,0.32,-0.08
342,10543,1,8,2,2,1.82,1.21,1.73,1.77
343,10545,1,8,4,1,0.12,0.55,-0.24,0.19
344,10546,1,8,5,5,0.7,-0.5,0.32,0.83
345,10547,2,8,2,4,-0.96,0.13,0.85,-1.24
346,10548,2,8,3,5,-0.42,-0.5,-0.94,-1.64
347,10549,2,5,1,1,-1.54,-0.5,-1.09,0.19
348,10550,1,6,2,5,0.12,0.13,1.73,-1.39
349,10551,1,6,3,3,1.24,1.21,0.71,1.38
350,10553,2,8,1,5,0.75,0.55,1.32,0.96
351,10554,2,5,1,3,-0.42,-0.5,-0.74,-0.6
352,10556,1,8,1,4,0.12,-0.5,-0.35,-1.39
353,10558,2,5,1,2,-0.42,-0.5,0.11,-1.25
354,10559,2,8,5,5,0.12,-0.5,0.32,0.71
355,10560,1,8,5,5,0.7,-0.5,0.32,0.71
356,10562,1,3,3,2,0.7,1.21,0.32,0.71
357,10563,1,8,3,4,0.7,1.21,0.32,0.19
358,10564,2,8,5,5,0.7,-0.5,0.11,0.44
359,10566,1,5,4,4,0.16,-0.5,-1.09,0.32
360,10570,1,6,5,3,0.16,-1.14,-0.06,-0.6
361,10571,2,8,4,1,1.82,0.8,1.73,0.73
362,10572,2,8,3,5,1.82,-0.5,1.73,-1.25
363,10573,2,5,1,3,-0.42,-0.5,-0.27,-0.2
364,10574,2,8,5,5,1.82,0.8,0.67,1.35
365,10575,1,8,4,1,-0.42,0.16,0.96,0.44
366,10576,2,8,4,4,0.7,-0.5,0.32,-0.2
367,10578,2,8,2,1,-1.54,-0.5,-1.3,-0.6
368,10579,1,8,5,4,-1.0,-1.17,-1.09,-0.6
369,10580,1,8,4,5,1.28,1.21,1.73,1.75
370,10582,1,6,3,4,1.24,0.8,0.32,1.38
371,10583,1,2,1,4,1.82,1.21,0.32,0.31
372,10586,1,8,5,4,0.16,0.13,-0.15,-0.04
373,10588,1,3,5,4,0.7,0.13,1.73,0.44
374,10589,2,8,5,5,1.28,0.55,1.32,-0.6
375,10590,1,5,4,5,-0.42,0.8,1.06,0.44
376,10592,2,8,5,3,-1.54,-0.92,-1.79,-1.39
377,10593,2,8,5,5,0.7,1.21,0.11,0.96
378,10594,2,8,2,1,-0.42,-0.5,-0.35,-0.2
379,10595,2,5,2,1,1.82,-0.5,1.14,1.23
380,10596,2,8,5,4,-1.54,-1.34,-2.5,-0.99
381,10597,1,5,1,3,1.82,0.8,0.32,-0.6
382,10598,1,8,3,5,1.24,0.8,1.73,2.17
383,10603,2,8,5,5,-0.42,-1.58,-0.74,-1.24
384,10604,1,8,5,5,1.24,1.21,1.73,1.75
385,10606,1,5,1,3,-1.54,-0.5,-2.5,-1.89
386,10607,2,8,2,4,0.7,1.21,0.32,1.36
387,10609,2,8,5,3,1.24,1.21,1.73,1.75
388,10610,1,3,1,3,-0.42,1.21,0.32,0.59
389,10611,2,8,5,5,0.16,-0.5,0.32,-0.6
390,10612,2,8,5,5,0.7,1.21,0.85,-0.35
391,10613,2,2,4,5,1.82,1.21,1.06,2.17
392,10614,1,8,4,2,-1.54,-0.5,-0.27,-1.0
393,10615,1,3,2,4,0.7,0.38,1.73,1.13
394,10616,2,5,5,3,-0.42,-1.17,-0.7,0.05
395,10619,2,1,4,4,1.82,1.21,0.91,1.38
396,10620,1,8,4,3,-1.54,-1.83,-1.76,-1.64
397,10621,2,8,5,2,-1.54,-0.5,-1.76,-1.64
398,10622,1,8,3,4,0.12,-0.48,-0.44,-0.85
399,10623,1,8,4,2,0.12,0.16,0.11,0.44
400,10624,2,8,2,1,-0.96,0.38,-1.09,-0.6
401,10628,2,2,2,1,0.7,1.21,0.32,0.19
402,10629,2,5,2,3,-1.54,-0.5,1.73,1.23
403,10632,1,8,2,5,1.82,1.21,1.73,1.77
404,10633,1,3,5,1,-1.54,-0.5,-2.11,-1.39
405,10634,2,8,3,2,-0.42,-0.5,-1.09,-0.21
406,10635,1,2,4,5,0.16,-0.5,0.11,0.31
407,10636,1,8,4,3,-0.42,-0.5,-0.15,-0.85
408,10637,1,8,4,5,0.7,1.21,0.32,0.44
409,10639,1,6,4,1,-0.96,-0.5,-1.09,-0.99
410,10640,2,8,2,2,-0.42,-0.5,-0.74,-0.2
411,10641,2,2,5,5,1.82,1.21,1.73,2.17
412,10642,1,8,5,3,0.16,-0.09,-0.35,-1.25
413,10643,2,5,1,1,-0.42,-1.17,-1.09,-1.0
414,10644,2,5,3,1,-1.54,-0.5,-0.5,-0.2
415,10645,1,6,3,3,0.7,0.8,0.32,1.36
416,10646,2,6,3,3,-1.54,-2.22,-1.09,-0.85
417,10647,2,8,4,5,0.7,-0.5,-0.94,-0.07
418,10649,2,8,5,2,-0.42,-0.5,0.11,-0.2
419,10650,2,8,5,2,-1.54,-3.94,-0.53,-0.46
420,10651,2,8,5,4,0.7,1.21,0.32,0.96
421,10653,1,8,5,2,-0.42,-1.17,-0.29,-1.25
422,10655,2,8,5,5,0.7,0.8,0.32,0.19
423,10656,1,5,1,3,0.12,-0.5,0.32,0.61
424,10658,1,8,1,1,-1.54,1.21,-0.05,0.05
425,10661,2,6,5,5,0.7,-0.5,1.73,0.83
426,10662,1,8,5,4,0.12,0.13,0.32,0.71
427,10663,2,8,5,4,-0.42,-0.5,0.32,0.71
428,10664,1,8,4,2,-0.42,-0.5,-1.09,0.19
429,10666,2,8,5,4,1.24,-0.5,0.32,-0.6
430,10667,1,6,2,2,-0.42,0.8,0.32,-0.35
431,10668,2,8,4,1,0.7,-0.5,0.32,0.19
432,10670,1,5,1,1,-0.42,1.21,-0.27,-0.6
433,10671,1,8,1,1,-0.42,-0.5,0.93,-1.25
434,10672,2,5,3,4,1.24,0.8,1.73,1.77
435,10673,1,5,1,3,0.7,-0.92,0.32,0.71
436,10674,2,6,5,5,-1.54,-1.17,0.5,-1.0
437,10675,2,8,1,3,0.7,-0.5,0.11,0.71
438,10677,1,8,5,2,-1.54,0.8,0.11,-0.99
439,10678,2,8,5,5,-1.54,-0.26,-0.56,-0.6
440,10680,1,6,4,3,-0.42,-0.92,0.32,0.2
441,10681,1,2,5,5,0.7,-0.92,0.11,-0.2
442,10684,2,8,3,3,-1.54,-0.5,-1.09,-0.6
443,10685,2,5,3,2,-1.54,1.21,1.73,0.58
444,10686,1,8,5,2,0.16,-0.92,-0.8,-1.24
445,10688,2,6,3,4,1.24,0.8,0.32,1.36
446,10690,2,8,5,3,-0.42,0.8,0.11,0.44
447,10691,2,8,1,5,0.7,-0.26,0.32,-0.21
448,10692,1,8,1,3,-0.42,1.21,-0.94,-0.2
